date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:14	1960/1960	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Sep%202022%2019:19:53%20GMT	https://colorlib.com/etc/regform/colorlib-regform-18/	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/index.html	(from )
15:58:14	161/161	---MCZ	200	added ('OK')	text/plain	etag:W/%22659fc798-11b%22	https://colorlib.com/robots.txt		(from )
15:58:15	70815/70815	---MCZ	200	added ('OK')	text/css	etag:W/%226337415d-1149f%22	https://colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css	(from https://colorlib.com/etc/regform/colorlib-regform-18/)
15:58:17	12791/12791	---M--	200	added ('OK')	image/jpeg	etag:%226337415b-4e8a%22	https://colorlib.com/etc/regform/colorlib-regform-18/images/bg-registration-form-2.jpg	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/images/bg-registration-form-2.jpg	(from https://colorlib.com/etc/regform/colorlib-regform-18/)
15:58:17	3388/3388	---MCZ	200	added ('OK')	text/css	etag:W/%2263374159-11dd%22	https://colorlib.com/etc/regform/colorlib-regform-18/css/style.css	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/css/style.css	(from https://colorlib.com/etc/regform/colorlib-regform-18/)
15:58:20	38384/38384	---M--	200	added ('OK')	application/font-woff2	etag:%226337415f-95f0%22	https://colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Fontd1f1.woff2	(from https://colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css)
15:58:21	50312/50312	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226337415e-c488%22	https://colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css)
15:58:21	99212/99212	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%226337415e-1838c%22	https://colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://colorlib.com/etc/regform/colorlib-regform-18/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css)
15:58:22	94320/94320	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%226337415c-17070%22	https://colorlib.com/etc/regform/colorlib-regform-18/fonts/muli/Muli-Regular.ttf	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/fonts/muli/Muli-Regular.ttf	(from https://colorlib.com/etc/regform/colorlib-regform-18/css/style.css)
15:58:23	93672/93672	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%226337415f-16de8%22	https://colorlib.com/etc/regform/colorlib-regform-18/fonts/muli/Muli-SemiBold.ttf	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/fonts/muli/Muli-SemiBold.ttf	(from https://colorlib.com/etc/regform/colorlib-regform-18/css/style.css)
15:58:23	93816/93816	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%226337415c-16e78%22	https://colorlib.com/etc/regform/colorlib-regform-18/fonts/muli/Muli-Bold.ttf	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/fonts/muli/Muli-Bold.ttf	(from https://colorlib.com/etc/regform/colorlib-regform-18/css/style.css)
15:58:27	51636/51636	---M--	200	added ('OK')	image/jpeg	etag:%226337415b-d7cb%22	https://colorlib.com/etc/regform/colorlib-regform-18/images/registration-form-2.jpg	C:/My%20Web%20Sites/KSG/colorlib.com/etc/regform/colorlib-regform-18/images/registration-form-2.jpg	(from https://colorlib.com/etc/regform/colorlib-regform-18/css/style.css)
